         37932415 function calls (37542325 primitive calls) in 39.948 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      237    0.001    0.000    0.006    0.000 common.py:240(asarray_tuplesafe)
       12    0.001    0.000    0.574    0.048 construction.py:538(_list_of_dict_to_arrays)
      242    0.001    0.000    0.006    0.000 fromnumeric.py:2843(prod)
       38    0.001    0.000    8.187    0.215 response.py:629(read_chunked)
       74    0.001    0.000    0.009    0.000 managers.py:126(__init__)
       37    0.001    0.000    8.161    0.221 response.py:607(_handle_chunk)
       26    0.001    0.000    0.007    0.000 managers.py:765(copy)
      242    0.001    0.000    0.004    0.000 numpy_.py:122(__init__)
      413    0.001    0.000    0.007    0.000 common.py:1684(is_extension_type)
       22    0.001    0.000    0.032    0.001 frame.py:4272(set_index)
      931    0.001    0.000    0.001    0.000 blocks.py:131(_check_ndim)
      277    0.001    0.000    0.002    0.000 common.py:1619(is_bool_dtype)
       93    0.001    0.000    0.067    0.001 frame.py:3537(_set_item)
      304    0.000    0.000    0.001    0.000 managers.py:1582(external_values)
      158    0.000    0.000    0.002    0.000 _dtype.py:46(__str__)
      242    0.000    0.000    0.000    0.000 missing.py:151(dispatch_fill_zeros)
       37    0.000    0.000    0.083    0.002 construction.py:300(_homogenize)
     1116    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
      159    0.000    0.000    0.005    0.000 managers.py:942(get)
       38    0.000    0.000    0.001    0.000 response.py:593(_update_chunk_length)
      322    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      260    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      285    0.000    0.000    0.001    0.000 common.py:951(is_integer_dtype)
      123    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      484    0.000    0.000    0.000    0.000 necompiler.py:685(getType)
       66    0.000    0.000    0.009    0.000 managers.py:1837(_multi_blockify)
       21    0.000    0.000    0.151    0.007 construction.py:491(_list_to_arrays)
       26    0.000    0.000    0.012    0.000 generic.py:3615(xs)
       26    0.000    0.000    0.001    0.000 {method 'add' of 'pandas._libs.internals.BlockPlacement' objects}
      656    0.000    0.000    0.001    0.000 os.py:673(__getitem__)
      254    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
  264/248    0.000    0.000    0.002    0.000 geodataframe.py:92(__setattr__)
      279    0.000    0.000    0.003    0.000 _ufunc_config.py:441(__enter__)
      279    0.000    0.000    0.000    0.000 _ufunc_config.py:437(__init__)
       38    0.000    0.000    0.025    0.001 response.py:318(_decode)
        2    0.000    0.000    0.130    0.065 weakly_connected.py:109(is_weakly_connected)
      242    0.000    0.000    0.007    0.000 <__array_function__ internals>:2(prod)
     1449    0.000    0.000    0.000    0.000 blocks.py:239(mgr_locs)
       29    0.000    0.000    0.002    0.000 algorithms.py:1608(take_nd)
      159    0.000    0.000    0.005    0.000 frame.py:3444(_box_item_values)
       56    0.000    0.000    0.019    0.000 base.py:5295(insert)
      242    0.000    0.000    0.000    0.000 __init__.py:139(maybe_upcast_for_op)
        2    0.000    0.000    1.192    0.596 geo_utils.py:46(induce_subgraph)
      242    0.000    0.000    0.001    0.000 __init__.py:892(_align_method_SERIES)
      286    0.000    0.000    0.001    0.000 base.py:180(construct_from_string)
      242    0.000    0.000    0.001    0.000 necompiler.py:821(<listcomp>)
       42    0.000    0.000    0.008    0.000 managers.py:353(apply)
      244    0.000    0.000    0.002    0.000 base.py:1012(_ndarray_values)
       10    0.000    0.000    0.002    0.000 {pandas._libs.lib.map_infer}
       93    0.000    0.000    0.055    0.001 generic.py:3380(_set_item)
      159    0.000    0.000    0.003    0.000 frame.py:3451(_box_col_values)
       11    0.000    0.000    0.012    0.001 blocks.py:382(delete)
      242    0.000    0.000    0.001    0.000 expressions.py:172(_has_bool_dtype)
       95    0.000    0.000    0.001    0.000 indexing.py:2352(convert_to_index_sliceable)
       27    0.000    0.000    0.004    0.000 nanops.py:239(_get_values)
       37    0.000    0.000    0.067    0.002 managers.py:1691(create_block_manager_from_arrays)
       18    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_1d_int64_int64}
      242    0.000    0.000    0.001    0.000 common.py:1203(is_datetime64_ns_dtype)
      285    0.000    0.000    0.001    0.000 common.py:1585(is_float_dtype)
      189    0.000    0.000    0.001    0.000 managers.py:1857(_asarray_compat)
       25    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
      175    0.000    0.000    0.003    0.000 blocks.py:347(ftype)
        1    0.000    0.000   12.319   12.319 core.py:155(osm_net_download)
       21    0.000    0.000    0.006    0.000 series.py:2141(idxmin)
       43    0.000    0.000    0.001    0.000 managers.py:340(_verify_integrity)
      346    0.000    0.000    0.001    0.000 base.py:3901(values)
      121    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        6    0.000    0.000    0.140    0.023 {built-in method builtins.max}
       66    0.000    0.000    0.001    0.000 base.py:634(_shallow_copy)
      242    0.000    0.000    0.001    0.000 expressions.py:182(_bool_arith_check)
     1002    0.000    0.000    0.001    0.000 managers.py:169(<genexpr>)
      382    0.000    0.000    0.004    0.000 common.py:1163(is_datetime64_any_dtype)
      258    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(concatenate)
      106    0.000    0.000    0.003    0.000 {method 'extend' of 'list' objects}
       82    0.000    0.000    0.002    0.000 numerictypes.py:602(find_common_type)
      183    0.000    0.000    0.002    0.000 missing.py:128(_isna_new)
      242    0.000    0.000    0.001    0.000 __init__.py:81(get_op_result_name)
       92    0.000    0.000    0.000    0.000 cast.py:384(infer_dtype_from_scalar)
      218    0.000    0.000    0.002    0.000 blocks.py:267(make_block_same_class)
        2    0.000    0.000    0.000    0.000 blocks.py:3305(_merge_blocks)
       21    0.000    0.000    0.005    0.000 nanops.py:62(_f)
      788    0.000    0.000    0.000    0.000 managers.py:236(items)
       88    0.000    0.000    0.004    0.000 managers.py:654(_consolidate_check)
        5    0.000    0.000    0.000    0.000 topology.py:76(__call__)
       24    0.000    0.000    0.060    0.003 geodataframe.py:116(set_geometry)
       56    0.000    0.000    3.322    0.059 {method 'readline' of '_io.BufferedReader' objects}
      268    0.000    0.000    0.001    0.000 common.py:1825(_is_dtype)
      465    0.000    0.000    0.000    0.000 range.py:652(__len__)
       21    0.000    0.000    0.000    0.000 {method 'argmin' of 'numpy.ndarray' objects}
      304    0.000    0.000    0.001    0.000 series.py:517(values)
      506    0.000    0.000    0.011    0.000 series.py:852(<genexpr>)
  170/162    0.000    0.000    0.001    0.000 base.py:4377(equals)
        1    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
       56    0.000    0.000    0.000    0.000 shape_base.py:83(atleast_2d)
       28    0.000    0.000    0.000    0.000 range.py:83(__new__)
      121    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      199    0.000    0.000    0.001    0.000 common.py:1006(is_signed_integer_dtype)
      242    0.000    0.000    0.001    0.000 numpy_.py:410(to_numpy)
      909    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      395    0.000    0.000    0.000    0.000 common.py:150(cast_scalar_indexer)
       26    0.000    0.000    0.014    0.001 indexing.py:1787(_getitem_axis)
      159    0.000    0.000    0.000    0.000 generic.py:3279(_set_as_cached)
      123    0.000    0.000    0.000    0.000 socket.py:614(readable)
        6    0.000    0.000    5.518    0.920 apply.py:261(apply_standard)
       37    0.000    0.000    0.167    0.005 construction.py:69(arrays_to_mgr)
      106    0.000    0.000    0.001    0.000 blocks.py:2771(__init__)
      246    0.000    0.000    0.000    0.000 fromnumeric.py:74(<dictcomp>)
      181    0.000    0.000    0.000    0.000 base.py:613(_get_attributes_dict)
      104    0.000    0.000    0.001    0.000 function_base.py:4640(append)
