         12555632 function calls (12460749 primitive calls) in 15.088 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_1d_int64_int64}
       26    0.000    0.000    0.001    0.000 managers.py:878(fast_xs)
       22    0.000    0.000    0.001    0.000 missing.py:219(_isna_ndarraylike)
      242    0.000    0.000    0.001    0.000 __init__.py:892(_align_method_SERIES)
       51    0.000    0.000    0.015    0.000 base.py:5295(insert)
       21    0.000    0.000    0.111    0.005 construction.py:491(_list_to_arrays)
      484    0.000    0.000    0.000    0.000 necompiler.py:685(getType)
      274    0.000    0.000    0.000    0.000 managers.py:1582(external_values)
      260    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        3    0.000    0.000    0.000    0.000 {method 'sendall' of '_socket.socket' objects}
       73    0.000    0.000    0.035    0.000 frame.py:3537(_set_item)
      229    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
       37    0.000    0.000    0.006    0.000 managers.py:353(apply)
       56    0.000    0.000    1.486    0.027 {method 'readline' of '_io.BufferedReader' objects}
      242    0.000    0.000    0.000    0.000 common.py:1203(is_datetime64_ns_dtype)
       19    0.000    0.000    0.002    0.000 algorithms.py:1608(take_nd)
        5    0.000    0.000    0.699    0.140 helpers.py:73(get_pivots)
        5    0.000    0.000    0.000    0.000 topology.py:76(__call__)
       26    0.000    0.000    0.001    0.000 {method 'add' of 'pandas._libs.internals.BlockPlacement' objects}
      282    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      269    0.000    0.000    0.002    0.000 _ufunc_config.py:441(__enter__)
      111    0.000    0.000    0.001    0.000 _dtype.py:46(__str__)
       85    0.000    0.000    0.002    0.000 cast.py:880(maybe_infer_to_datetimelike)
      242    0.000    0.000    0.001    0.000 necompiler.py:821(<listcomp>)
       46    0.000    0.000    0.004    0.000 managers.py:1837(_multi_blockify)
      269    0.000    0.000    0.000    0.000 _ufunc_config.py:437(__init__)
       66    0.000    0.000    0.001    0.000 base.py:634(_shallow_copy)
        1    0.000    0.000    7.701    7.701 core.py:155(osm_net_download)
      144    0.000    0.000    0.003    0.000 frame.py:3444(_box_item_values)
      242    0.000    0.000    0.000    0.000 __init__.py:139(maybe_upcast_for_op)
